Iteraçao;Saudios;Imunes;Pseudo-Imunes;Doentes;Infectantes Gerados;Mortos;Acidentados;Nasceram;Morreram;Total
0;6058;1931;2010;1;0;0;0;0;0;10000
1;5441;1740;1814;5;4;1000;1000;0;1000;10000
2;5255;1693;1782;114;9;1156;984;806;1178;10000
3;4974;1619;1662;516;299;1229;1012;916;1256;10000
4;4240;1591;316;1192;967;2661;1033;968;2839;10000
5;3531;1769;391;2411;1483;1898;1019;2135;1996;10000
6;2150;1843;262;3596;2173;2149;1044;1525;2275;10000
7;1025;1898;169;4120;2191;2788;1009;1687;2987;10000
8;433;2020;105;4084;2061;3358;1013;2212;3614;10000
9;273;2203;101;4059;1930;3364;1023;2709;3628;10000
10;189;1738;119;3765;1798;4189;1029;2702;4553;10000
11;303;2027;158;4146;2009;3366;941;3337;3645;10000
12;192;2217;127;4228;1870;3236;981;2699;3493;10000
13;178;2329;116;3884;1745;3493;937;2587;3764;10000
14;214;2405;121;3785;1784;3475;968;2780;3767;10000
15;229;2474;144;3829;1784;3324;991;2801;3568;10000
16;244;2516;128;3807;1766;3305;998;2677;3572;10000
17;212;2534;138;3690;1714;3426;1021;2617;3711;10000
18;261;2501;125;3734;1757;3379;990;2760;3643;10000
19;239;2483;122;3755;1725;3401;1037;2700;3657;10000
20;222;2441;145;3741;1752;3451;984;2709;3713;10000
21;250;2457;146;3799;1777;3348;991;2784;3624;10000
22;216;2451;133;3806;1766;3394;1040;2665;3682;10000
23;221;2461;127;3818;1790;3373;968;2713;3652;10000
24;218;2464;130;3787;1765;3401;983;2693;3664;10000
25;232;2478;167;3778;1740;3345;974;2753;3616;10000
26;237;2475;154;3735;1758;3399;1008;2686;3656;10000
27;227;2461;150;3709;1773;3453;1031;2677;3732;10000
28;267;2428;134;3699;1751;3472;1018;2744;3725;10000
29;250;2468;129;3805;1807;3348;1014;2780;3617;10000
30;254;2458;121;3797;1731;3370;1022;2668;3650;10000
31;228;2489;141;3662;1701;3480;1007;2651;3769;10000
32;261;2490;175;3661;1723;3413;1041;2765;3693;10000
33;272;2489;174;3722;1753;3343;999;2751;3594;10000
34;252;2511;146;3766;1772;3325;989;2688;3579;10000
35;225;2566;135;3707;1716;3367;990;2648;3641;10000
36;250;2576;147;3698;1739;3329;991;2726;3594;10000
37;242;2534;158;3714;1745;3352;982;2666;3583;10000
38;252;2511;133;3729;1729;3375;1025;2684;3650;10000
39;233;2531;136;3726;1752;3374;1021;2692;3639;10000
40;259;2538;135;3723;1717;3345;975;2701;3617;10000
41;261;2517;123;3795;1777;3304;959;2701;3565;10000
42;248;2487;135;3758;1686;3372;992;2625;3638;10000
43;237;2455;158;3650;1738;3500;1037;2666;3781;10000
44;246;2477;150;3821;1820;3306;983;2844;3567;10000
45;216;2457;137;3807;1709;3383;995;2591;3641;10000
46;220;2444;145;3682;1756;3509;1043;2709;3778;10000
47;276;2464;149;3789;1799;3322;964;2847;3558;10000
48;230;2452;158;3849;1766;3311;980;2649;3574;10000
49;225;2444;138;3730;1743;3463;992;2645;3743;10000
50;247;2449;152;3750;1818;3402;1038;2766;3649;10000
51;228;2440;165;3789;1812;3378;1060;2751;3644;10000
52;221;2406;171;3785;1770;3417;1020;2678;3698;10000
53;237;2466;148;3797;1802;3352;972;2779;3611;10000
54;223;2443;134;3778;1776;3422;954;2637;3659;10000
55;253;2446;157;3730;1708;3414;971;2722;3676;10000
56;257;2467;143;3724;1755;3409;975;2711;3666;10000
57;242;2469;137;3788;1757;3364;985;2736;3617;10000
58;225;2469;135;3782;1748;3389;993;2678;3673;10000
59;233;2535;111;3757;1786;3364;996;2737;3630;10000
60;243;2511;105;3680;1736;3461;1053;2683;3731;10000
61;242;2514;142;3729;1775;3373;1021;2780;3643;10000
62;235;2511;147;3842;1796;3265;972;2707;3536;10000
63;239;2492;136;3753;1755;3380;1001;2631;3618;10000
64;243;2468;127;3744;1780;3418;974;2720;3669;10000
65;239;2445;125;3817;1774;3374;993;2721;3612;10000
66;236;2451;143;3779;1732;3391;964;2708;3658;10000
67;227;2460;138;3796;1779;3379;994;2742;3639;10000
68;208;2425;130;3824;1798;3413;990;2704;3683;10000
69;227;2428;151;3845;1755;3349;970;2738;3642;10000
70;217;2421;141;3808;1760;3413;1021;2685;3693;10000
71;239;2427;130;3758;1782;3446;1038;2757;3711;10000
72;235;2433;127;3811;1793;3394;1039;2740;3684;10000
73;237;2432;140;3775;1735;3416;1030;2702;3691;10000
74;233;2467;138;3750;1773;3412;984;2729;3672;10000
75;252;2519;146;3772;1771;3311;958;2740;3578;10000
76;247;2465;108;3737;1720;3443;1038;2644;3713;10000
77;286;2455;158;3765;1737;3336;979;2759;3592;10000
78;260;2432;157;3756;1771;3395;1032;2687;3682;10000
79;220;2428;135;3804;1815;3413;1055;2703;3689;10000
80;219;2419;127;3778;1778;3457;1007;2700;3725;10000
81;222;2437;138;3793;1761;3410;989;2770;3670;10000
82;223;2472;141;3784;1775;3380;1035;2746;3664;10000
83;259;2481;138;3693;1727;3429;984;2657;3696;10000
84;279;2482;132;3648;1732;3459;1017;2720;3730;10000
85;280;2489;127;3790;1787;3314;1000;2759;3568;10000
86;225;2488;123;3757;1768;3407;1055;2632;3693;10000
87;239;2498;135;3738;1735;3390;985;2705;3646;10000
88;226;2477;133;3731;1779;3433;1021;2702;3700;10000
89;235;2472;138;3777;1780;3378;1071;2728;3699;10000
90;233;2482;135;3814;1752;3336;993;2735;3601;10000
91;213;2494;147;3750;1702;3396;961;2645;3659;10000
92;222;2485;132;3786;1781;3375;994;2741;3647;10000
93;224;2458;147;3828;1754;3343;1009;2705;3630;10000
94;209;2437;140;3785;1802;3429;1026;2693;3700;10000
95;229;2445;144;3813;1769;3369;937;2735;3619;10000
96;227;2435;121;3820;1754;3397;999;2703;3664;10000
97;235;2481;136;3747;1733;3401;921;2707;3625;10000
98;242;2447;133;3751;1777;3427;1085;2708;3737;10000
99;222;2455;148;3743;1711;3432;1014;2701;3696;10000
100;246;2508;131;3776;1792;3339;1006;2795;3622;10000
